id,listing_url,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1075794,https://www.airbnb.com/rooms/1075794,42,1,0,12/08/2013,11/03/2024,4.81,4.8,4.81,4.93,4.93,4.79,4.62,,f,3,3,0,0,0.32
807366,https://www.airbnb.com/rooms/807366,25,0,0,23/04/2014,30/09/2022,4.92,5,4.92,4.96,4.96,4.92,4.84,,f,1,1,0,0,0.2
1081311,https://www.airbnb.com/rooms/1081311,118,7,0,14/12/2014,28/01/2024,4.78,4.84,4.81,4.89,4.92,4.69,4.82,,f,1,0,1,0,1.02
810042,https://www.airbnb.com/rooms/810042,42,6,0,28/01/2013,01/03/2024,4.98,5,4.95,5,4.98,4.95,4.95,,t,3,3,0,0,0.3
811611,https://www.airbnb.com/rooms/811611,298,19,0,25/03/2013,19/05/2024,4.86,4.88,4.95,4.93,4.9,4.94,4.84,,f,1,1,0,0,2.17
812750,https://www.airbnb.com/rooms/812750,89,7,0,03/01/2013,13/05/2024,4.81,4.87,4.86,4.94,4.91,4.69,4.84,,f,3,1,2,0,0.64
1101917,https://www.airbnb.com/rooms/1101917,114,18,0,20/11/2013,19/05/2024,4.95,4.98,4.99,4.95,4.99,5,4.93,,f,2,2,0,0,0.88
842387,https://www.airbnb.com/rooms/842387,90,3,0,09/02/2013,16/04/2024,4.59,4.62,4.44,4.69,4.81,4.85,4.51,,f,17,11,6,0,0.65
1111212,https://www.airbnb.com/rooms/1111212,16,0,0,04/01/2014,03/01/2020,4.38,4.63,4.69,5,4.94,4.5,4.38,,f,1,1,0,0,0.13
855361,https://www.airbnb.com/rooms/855361,23,0,0,07/10/2013,30/04/2023,4.83,4.94,4.94,4.94,5,4.94,4.75,,f,3,3,0,0,0.18
857701,https://www.airbnb.com/rooms/857701,32,4,0,19/12/2017,10/03/2024,4.91,4.97,4.78,4.94,5,4.94,4.78,,f,1,1,0,0,0.4
1144728,https://www.airbnb.com/rooms/1144728,93,1,0,19/10/2013,03/01/2024,4.75,4.89,4.88,4.93,4.9,4.7,4.84,,f,1,1,0,0,0.71
858532,https://www.airbnb.com/rooms/858532,37,1,0,28/02/2014,31/01/2024,4.68,4.89,4.92,4.78,4.78,4.81,4.68,,t,1,1,0,0,0.29
861257,https://www.airbnb.com/rooms/861257,51,4,0,16/10/2013,06/05/2024,4.55,4.46,4.35,4.98,4.88,4.9,4.56,,f,17,11,6,0,0.39
1182416,https://www.airbnb.com/rooms/1182416,36,4,0,17/10/2015,19/04/2024,4.72,4.83,4.86,4.67,4.64,4.72,4.75,,t,2,2,0,0,0.34
875916,https://www.airbnb.com/rooms/875916,13,4,0,04/12/2018,09/03/2024,4.38,4.54,4.15,4.69,4.92,4.69,4.31,,f,4,2,2,0,0.19
1191976,https://www.airbnb.com/rooms/1191976,32,0,0,08/02/2014,10/12/2022,4.91,4.82,4.88,4.88,4.76,4.82,4.88,,t,6,6,0,0,0.25
879450,https://www.airbnb.com/rooms/879450,76,0,0,22/09/2013,20/03/2022,4.84,4.88,4.88,4.92,4.8,4.76,4.88,,f,2,2,0,0,0.58
1194568,https://www.airbnb.com/rooms/1194568,49,18,1,02/05/2014,11/06/2024,5,4.94,4.9,4.98,4.98,5,4.92,,f,1,1,0,0,0.4
887577,https://www.airbnb.com/rooms/887577,2,0,0,02/01/2019,06/01/2020,4.5,5,4.5,5,4.5,5,4.5,,f,1,1,0,0,0.03
893053,https://www.airbnb.com/rooms/893053,39,6,0,17/03/2014,04/05/2024,4.74,4.84,4.85,4.66,4.87,4.76,4.63,,t,2,2,0,0,0.31
897063,https://www.airbnb.com/rooms/897063,140,22,2,07/02/2013,19/06/2024,4.79,4.81,4.71,4.84,4.9,4.83,4.81,,f,4,4,0,0,1.01
1197587,https://www.airbnb.com/rooms/1197587,1,1,0,07/01/2024,07/01/2024,5,5,5,5,5,5,5,,f,1,0,1,0,0.17
1234685,https://www.airbnb.com/rooms/1234685,14,4,0,09/12/2013,03/04/2024,4.64,4.77,4.71,4.93,4.86,4.57,4.43,,f,1,1,0,0,0.11
1241945,https://www.airbnb.com/rooms/1241945,37,11,0,09/04/2014,07/04/2024,4.81,4.84,4.76,4.84,4.92,4.89,4.68,,f,54,54,0,0,0.3
900141,https://www.airbnb.com/rooms/900141,31,9,0,17/01/2015,02/04/2024,4.9,4.94,5,5,4.97,4.97,4.9,,t,1,1,0,0,0.27
900802,https://www.airbnb.com/rooms/900802,17,6,0,08/03/2020,15/04/2024,4.94,4.88,4.88,4.94,5,5,4.88,,f,2,1,1,0,0.32
906093,https://www.airbnb.com/rooms/906093,82,7,0,28/07/2013,06/04/2024,4.84,4.85,4.91,4.95,4.94,4.91,4.78,,f,2,1,1,0,0.62
1253226,https://www.airbnb.com/rooms/1253226,27,7,0,20/07/2015,07/05/2024,4.85,4.78,4.91,4.91,4.74,4.91,4.61,,f,54,54,0,0,0.25
911211,https://www.airbnb.com/rooms/911211,21,1,0,21/11/2013,20/12/2023,4.7,4.81,4.86,4.86,4.71,4.86,4.48,,t,5,5,0,0,0.16
919640,https://www.airbnb.com/rooms/919640,0,0,0,,,,,,,,,,,f,1,1,0,0,
1285950,https://www.airbnb.com/rooms/1285950,0,0,0,,,,,,,,,,,f,3,0,2,1,
1318508,https://www.airbnb.com/rooms/1318508,13,4,0,13/01/2016,23/03/2024,3.23,3.69,3.85,3.54,3.31,4.38,3.46,,f,1,1,0,0,0.13
930318,https://www.airbnb.com/rooms/930318,10,0,0,28/12/2013,09/12/2020,4.6,5,4.67,4.83,4.83,4.67,4.33,,f,8,8,0,0,0.08
1331613,https://www.airbnb.com/rooms/1331613,147,14,0,28/09/2013,15/04/2024,4.61,4.64,4.77,4.95,4.96,4.6,4.65,,t,2,2,0,0,1.12
930469,https://www.airbnb.com/rooms/930469,12,0,0,24/02/2018,15/12/2020,4.83,5,5,4.86,5,4.71,4.71,,f,8,8,0,0,0.16
930476,https://www.airbnb.com/rooms/930476,15,3,0,18/06/2017,08/01/2024,4.87,4.8,4.9,4.9,4.7,4.9,4.6,,f,8,8,0,0,0.18
1333749,https://www.airbnb.com/rooms/1333749,144,20,0,23/11/2013,03/04/2024,4.69,4.68,4.71,4.8,4.9,4.87,4.48,,f,4,1,3,0,1.12
930482,https://www.airbnb.com/rooms/930482,4,0,0,20/05/2018,03/03/2019,5,5,5,5,5,5,4.75,,f,8,8,0,0,0.05
930488,https://www.airbnb.com/rooms/930488,7,0,0,06/11/2017,19/11/2019,4.71,4.86,5,4.71,4.71,4.86,4.71,,t,8,8,0,0,0.09
1348581,https://www.airbnb.com/rooms/1348581,8,0,0,08/11/2015,17/01/2023,5,4.88,4.75,5,5,5,4.88,,f,2,0,2,0,0.08
933618,https://www.airbnb.com/rooms/933618,252,16,1,04/03/2013,30/05/2024,4.98,4.98,5,5,5,4.98,4.98,,f,1,1,0,0,1.83
1410077,https://www.airbnb.com/rooms/1410077,29,6,0,03/01/2015,29/02/2024,5,4.97,4.86,4.97,4.97,5,4.76,,f,1,1,0,0,0.25
969627,https://www.airbnb.com/rooms/969627,3,0,0,09/12/2014,24/11/2016,5,5,4.67,5,4.67,4.67,4.67,,f,1,1,0,0,0.03
988881,https://www.airbnb.com/rooms/988881,0,0,0,,,,,,,,,,,f,1,1,0,0,
